,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
Temperature_C,70.0,16.3929,2.1244,13.2,14.65,16.0,17.975,21.0,0.5395,-0.726
pH,70.0,7.4421,0.206,7.04,7.31,7.4425,7.615,7.88,-0.1907,-0.8255
Dissolved_Oxygen,70.0,7.8686,0.7353,6.5,7.3,7.85,8.4,9.2,0.0732,-0.9774
Fish_Count,70.0,13.1,7.6974,3.0,6.0,11.0,20.0,30.0,0.4502,-1.0919
Avg_Size_cm,70.0,23.0829,15.0073,6.9,8.0,18.05,40.375,44.9,0.3399,-1.6628
Fish_Health_Index,70.0,0.4754,0.125,0.1302,0.3865,0.5002,0.5557,0.8167,-0.2846,0.9607
Water_Quality_Index,70.0,0.7265,0.1141,0.4942,0.6341,0.7221,0.8151,0.9461,-0.0509,-0.8277
