model,accuracy,precision_weighted,recall_weighted,f1_weighted
MLP Neural Network,0.9586206896551724,0.9588755511379565,0.9586206896551724,0.9584681561765211
Random Forest,0.9310344827586207,0.932183908045977,0.9310344827586207,0.9312164343360235
Gradient Boosting,0.9172413793103448,0.9178537095088819,0.9172413793103448,0.9173090140338829
Decision Tree,0.9172413793103448,0.9172413793103448,0.9172413793103448,0.9172413793103448
Logistic Regression,0.9103448275862069,0.9173228230021556,0.9103448275862069,0.9076025140501722
SVM RBF,0.903448275862069,0.9259770114942528,0.903448275862069,0.9028064344411648
KNN,0.7862068965517242,0.8322361546499476,0.7862068965517242,0.7762340187404521
