reserved_room_type,bookings,cancellation_rate,avg_adr,avg_stay
A,56434,0.2601445936846582,92.37475989651628,3.2986143105220256
D,17376,0.30127762430939226,122.21879949355431,4.156019797421731
E,6036,0.2726971504307488,126.13455268389663,4.762756792577866
F,2820,0.3017730496453901,168.45132269503546,3.7336879432624115
G,2050,0.3595121951219512,176.9003219512195,4.2941463414634145
B,996,0.31827309236947793,90.59360441767068,3.396586345381526
C,914,0.3238512035010941,160.73743982494528,4.6652078774617065
H,596,0.4077181208053691,188.7639932885906,4.031879194630872
L,6,0.3333333333333333,124.66666666666667,1.1666666666666667
